protocol,networks,callHandlers,ipfs,blockHandlers,dynamicContracts,contractCalls
"  - saddle-finance-optimism",1,false,false,false,false,false
"  - scream-fantom",1,false,false,false,false,false
"  - seamless-protocol-base",1,false,false,false,false,false
"  - seismic-blast",1,false,false,false,false,false
"  - silo-governance-ethereum",1,false,false,false,false,false
"  - slisbnb-bsc",1,false,false,false,false,false
"  - solarbeam-moonriver",1,false,false,false,false,false
"  - sonne-finance-optimism",1,false,false,false,false,false
"  - spark-lend-ethereum",1,false,false,false,false,false
"  - spark-lend-gnosis",1,false,false,false,false,false
"  - spiko-ethereum",1,false,false,false,false,false
"  - spiko-polygon",1,false,false,false,false,false
"  - spiritswap-fantom",1,false,false,false,false,false
"  - spookyswap-fantom",1,false,false,false,false,false
"  - spookyswap-swap-fantom",1,false,false,false,false,false
"  - stader-ethereum",1,false,false,false,false,false
"  - stake-link-liquid-ethereum",1,false,false,false,false,false
"  - stakedao-ethereum",1,false,false,false,false,false
"  - stakestone-ethereum",1,false,false,false,false,false
"  - stakewise-v2-ethereum",1,false,false,false,false,false
"  - stakewise-v2-gnosis",1,false,false,false,false,false
"  - stargate-arbitrum",1,false,false,false,false,false
"  - stargate-avalanche",1,false,false,false,false,false
"  - stargate-base",1,false,false,false,false,false
"  - stargate-bsc",1,false,false,false,false,false
"  - stargate-ethereum",1,false,false,false,false,false
"  - stargate-fantom",1,false,false,false,false,false
"  - stargate-metis",1,false,false,false,false,false
"  - stargate-optimism",1,false,false,false,false,false
"  - stargate-polygon",1,false,false,false,false,false
"  - stcelo-celo",1,false,false,false,false,false
"  - stream-finance-ethereum",1,false,false,false,false,false
"  - superlend-etherlink-mainnet",1,false,false,false,false,false
"  - superseed-ethereum",1,false,false,false,false,false
"  - sushiswap-arbitrum",1,false,false,false,false,false
"  - sushiswap-avalanche",1,false,false,false,false,false
"  - sushiswap-bsc",1,false,false,false,false,false
"  - sushiswap-celo",1,false,false,false,false,false
"  - sushiswap-ethereum",1,false,false,false,false,false
"  - sushiswap-fantom",1,false,false,false,false,false
"  - sushiswap-fuse",1,false,false,false,false,false
"  - sushiswap-gnosis",1,false,false,false,false,false
"  - sushiswap-harmony",1,false,false,false,false,false
"  - sushiswap-moonbeam",1,false,false,false,false,false
"  - sushiswap-moonriver",1,false,false,false,false,false
"  - sushiswap-polygon",1,false,false,false,false,false
"  - sushiswap-v3-arbitrum",1,false,false,false,false,false
"  - sushiswap-v3-avalanche",1,false,false,false,false,false
"  - sushiswap-v3-bsc",1,false,false,false,false,false
"  - sushiswap-v3-ethereum",1,false,false,false,false,false
"  - sushiswap-v3-fantom",1,false,false,false,false,false
"  - sushiswap-v3-fuse",1,false,false,false,false,false
"  - sushiswap-v3-gnosis",1,false,false,false,false,false
"  - sushiswap-v3-moonriver",1,false,false,false,false,false
"  - sushiswap-v3-optimism",1,false,false,false,false,false
"  - sushiswap-v3-polygon",1,false,false,false,false,false
"  - sushiswap-v3-swap-base",1,false,false,false,false,false
"  - suzaku-avalanche",1,false,false,false,false,false
"  - swell-liquid-staking-ethereum",1,false,false,false,false,false
"  - symbiotic-ethereum",1,false,false,false,false,false
"  - tectonic-cronos",1,false,false,false,false,false
"  - tenderize-v2-arbitrum",1,false,false,false,false,false
"  - tenderize-v2-ethereum",1,false,false,false,false,false
"  - tensorplex-ethereum",1,false,false,false,false,false
"  - tether-gold-ethereum",1,false,false,false,false,false
"  - the-graph-arbitrum",1,false,false,false,false,false
"  - the-graph-ethereum",1,false,false,false,false,false
"  - threshold-governance-ethereum",1,false,false,false,false,false
"  - tokemak-ethereum",1,false,false,false,false,false
"  - tornado-cash-classic-bsc",1,false,false,false,false,false
"  - tornado-cash-classic-ethereum",1,false,false,false,false,false
"  - trader-joe-avalanche",1,false,false,false,false,false
"  - trisolaris-aurora",1,false,false,false,false,false
"  - truefi-ethereum",1,false,false,false,false,false
"  - truefi-governance-ethereum",1,false,false,false,false,false
"  - ubeswap-celo",1,false,false,false,false,false
"  - umami-finance-arbitrum",1,false,false,false,false,false
"  - uniswap-governance-ethereum",1,false,false,false,false,false
"  - uniswap-governance-v1-ethereum",1,false,false,false,false,false
"  - uniswap-governance-v2-ethereum",1,false,false,false,false,false
"  - uniswap-v2-ethereum",1,false,false,false,false,false
"  - uniswap-v2-swap-ethereum",1,false,false,false,false,false
"  - uniswap-v3-arbitrum",1,false,false,false,false,false
"  - uniswap-v3-base",1,false,false,false,false,false
"  - uniswap-v3-bsc",1,false,false,false,false,false
"  - uniswap-v3-celo",1,false,false,false,false,false
"  - uniswap-v3-ethereum",1,false,false,false,false,false
"  - uniswap-v3-optimism",1,false,false,false,false,false
"  - uniswap-v3-polygon",1,false,false,false,false,false
"  - uniswap-v3-swap-base",1,false,false,false,false,false
"  - uniswap-v3-swap-optimism",1,false,false,false,false,false
"  - unlock-governance-ethereum",1,false,false,false,false,false
"  - unslashed-governance-ethereum",1,false,false,false,false,false
"  - usual-ethereum",1,false,false,false,false,false
"  - uwu-lend-ethereum",1,false,false,false,false,false
"  - vaultka-arbitrum",1,false,false,false,false,false
"  - velodrome-finance-v1-optimism",1,false,false,false,false,false
"  - velodrome-finance-v2-optimism",1,false,false,false,false,false
"  - venus-protocol-bsc",1,false,false,false,false,false
"  - vesper-finance-ethereum",1,false,false,false,false,false
"  - vesta-finance-arbitrum",1,false,false,false,false,false
"  - vvs-finance-cronos",1,false,false,false,false,false
"  - x2y2-ethereum",1,false,false,false,false,false
"  - yearn-v2-arbitrum",1,false,false,false,false,false
"  - yearn-v2-ethereum",1,false,false,false,false,false
"  - yearn-v2-fantom",1,false,false,false,false,false
"  - yeti-finance-avalanche",1,false,false,false,false,false
"  - yieldnest-bsc",1,false,false,false,false,false
"  - yieldnest-ethereum",1,false,false,false,false,false
"  - yieldyak-staked-avax-avalanche",1,false,false,false,false,false
"  - zerolend-blast",1,false,false,false,false,false
"  - zerolend-ethereum",1,false,false,false,false,false
"  - zerolend-linea",1,false,false,false,false,false
"  - zerolend-xlayer",1,false,false,false,false,false
"  - zerolend-zksync-era",1,false,false,false,false,false
"  - zircuit-staking-ethereum",1,false,false,false,false,false
"- aave-forks",0,false,false,false,true,false
"- aave-governance",0,false,true,false,false,false
"- abracadabra",0,false,false,false,true,false
"- arrakis-finance",0,false,false,false,true,false
"- aura-finance",0,false,false,false,true,false
"- axelar",0,true,false,false,false,false
"- badgerdao",0,true,false,false,true,false
"- balancer-forks",0,false,false,false,true,false
"- bancor-v3",0,false,false,false,true,false
"- bedrock-unieth",0,true,false,false,false,false
"- belt-finance",0,false,false,false,true,false
"- cbridge",0,true,false,false,false,false
"- chainlink-staking",0,false,false,false,true,false
"- compound-forks",0,false,false,false,true,false
"- compound-v3",0,false,false,false,true,false
"- convex-finance",0,true,false,false,true,false
"- cronos-dummy",0,false,false,true,false,false
"- curve-finance",0,false,false,false,true,false
"- ellipsis-finance",0,false,false,false,true,false
"- erc20",0,false,true,false,true,false
"- erc721-metadata",0,false,true,false,false,false
"- etherfi",0,true,false,false,true,false
"- gamma-strategies",0,false,false,false,true,false
"- gmx-forks",0,false,false,false,true,false
"- goldfinch",0,false,false,false,true,false
"- inverse-finance",0,false,false,false,true,false
"- karak",0,false,false,false,true,false
"- kwenta",0,false,false,false,true,false
"- maker-governance",0,true,false,false,true,false
"- makerdao",0,false,false,false,true,false
"- maple-finance-v1",0,true,false,false,true,false
"- maple-finance-v2",0,false,false,false,true,false
"- morpho",0,false,false,false,true,false
"- morpho-blue",0,true,false,false,true,false
"- multichain",0,false,false,false,true,false
"- network",0,false,false,true,false,false
"- nexus-mutual",0,false,false,false,true,false
"- opensea",0,true,false,false,false,false
"- optimism-bridge-v2",0,false,false,false,true,false
"- opyn-gamma",0,false,false,false,true,false
"- platypus-finance",0,false,false,false,true,false
"- portal",0,true,false,false,false,false
"- puffer-finance",0,true,false,false,false,false
"- qidao",0,false,false,false,true,false
"- ribbon-finance",0,false,false,false,true,false
"- ring-few",0,false,false,false,true,false
"- rocket-pool",0,true,false,false,true,false
"- saddle-finance",0,false,false,false,true,false
"- stakedao",0,true,false,false,true,false
"- stakestone",0,true,false,false,false,false
"- stakewise-v2",0,false,false,false,true,false
"- stargate",0,false,false,false,true,false
